id,word,question_type,question_instruction,question_text,choices,correct_choice,tip_short,tip_long,level,frequency
h26;&|>0;L,quarter,Apply the Meaning,,"If you quarter an apple, how many pieces do you divide it into?",two | three | five | four,four,"In this question, quarter is a verb that means to divide into fourths.","A quarter is one-fourth of something. If you cut a pizza into four pieces and share it with three friends, each of you will eat a quarter of the pizza. A quarter is the same thing as twenty-five percent of something. Many sporting events are divided this way, and you'll often hear sports commentators saying things like, ""Here is the score at the end of the first quarter."" The Latin word quartus, ""fourth,"" is at the root of quarter, and the earliest — and goriest — use specifically referred to a form of execution that involved dismembering a prisoner's body into four pieces, or quarters.",1,0.020408163
u$(*Y0m+Dc,visual,Apply the Meaning,,Which of the following would best be considered visual?,a bacterial infection | a movie poster | hunger pains | a very loud noise,a movie poster,"In this question, visual is an adjective that means able to be seen.","If you want to know the meaning of visual, just look around! Anything you can see falls under the heading of visual. What ""aural"" is to the ears and ""olfactory"" is to the nose, visual is to the eyes. It's often said that ""film is a visual medium""; it uses pictures to tell a story. You have to see it to get it. That's clearly different from, say, radio which can only use audio. Have you ever closed your eyes while watching a cartoon? If you cut out the visual parts and just listen to the music and sound effects, it's often even funnier. As zany as the sounds are, they're even funnier when you separate them from their visual cues. Visual shares its root with vision, which is (not surprisingly) the ability to see. How visual!",6,0.001240695
Hn3%2;zysS,dreary,Fill in the Blank,,"It was a ________ Friday, the rain beat down on the tin roof of the hooch all morning, and we were all down.",judicial | blissful | dreary | circular,dreary,"In this question, dreary is an adjective that means causing dejection.","When something is dreary it's depressing or lifeless in a rainy-day way. I finished my work, there was nothing on TV, and the rain just wouldn't stop: what a dreary day! Dreary can refer to a feeling, a place, a time, or even a thing. It sounds a little like a combination of ""drizzle"" and ""teary,"" and that's not a bad way to remember what it means. My grandmother's house was a dreary affair: run down, poorly lit, and silent but for the buzz of the florescent light in the cramped kitchen. Some might call the recession a depression: I call it dreary, either way. If the economy remains dreary like this much longer, I just might move to China.",4,0.00265252
wJ2tfYlu^},bamboo,Apply the Meaning,,How would you most likely use bamboo?,as a cure for a headache | as a mode of transportation | as a construction material | as a topping for ice cream,as a construction material,"In this question, bamboo is a noun that means woody tropical grass having hollow woody stems.","Bamboo is a woody plant with a hollow stem that's in the grass family. When bamboo is harvested and processed, it can be used to make things like flooring, paper, and chopsticks. If bamboo is prepared correctly, it can be eaten — you'll find bamboo shoots in many Chinese dishes, for example. Without the right preparation, though, bamboo is toxic to humans. Many products are made from bamboo in part because it's one of the fastest-growing plants in the world. Bamboo is originally from the Dutch bamboe, which in turn comes from the Portuguese bambu. The root is thought to be the Malay word samambu.",6,0.001106195
lt$QlZ$u_5,tribunal,Fill in the Blank,,"A ________ of three judges believed that position, clearing de Villepin of charges that included complicity to slander, use of forgeries and stolen property, and breach of trust.",calendar | tribunal | stratum | yoke,tribunal,"In this question, tribunal is a noun that means an assembly to conduct judicial business.","A tribunal is like a court. If you've done something wrong and you get caught it's likely you'll be brought before a tribunal, although not all tribunals are there to determine guilt. Say, for example, you'd like to join a secret society. That society might convene a tribunal to determine whether you're worthy of joining. One way to remember tribunal is to focus on the tri at the beginning of the word. A tribunal is there to ""try"" a case. A tribunal is a group of people who oversee a trial. Your mom and dad could be a tribunal. You could also think of it as the group who oversees their tribe, which is, in fact, where the word comes from.",5,0.001724138
QyH%O]<aHE,intently,Fill in the Blank,,"The man on guard, well knowing that it behooved him to put forth his utmost precaution, kept aloof from the firelight, and sat watching ________ on all sides.",gallantly | imperceptibly | intently | specifically,intently,"In this question, intently is an adverb that means with strained or eager attention.","If you're studying something intently, you're probably leaning forward and you're oblivious to whatever is going on around you. Your attention is focused like a laser. If you're gazing intently into someone's eyes, you're hanging on to every blink of the eye, every nuance of expression. Maybe you're in love. When you do something intently, you do it with intensity. It's not a coincidence that intently sounds a lot like intensity, as they both come from the Latin intendere, made up of in- (""toward"") and tendere (""stretch""). So when you're listening intently to a Bartók string quartet, you're stretching and straining to hear every note.",6,0.001517451
iAv{[m$DW&,redistribute,Apply the Meaning,,"If a teacher decided to redistribute her students, which of the following would she be doing?",writing down all of her students' names on the chalkboard | changing her students' grades when she sees improvement | dividing the students and placing some in different classes | punishing her students for repeated misbehavior,dividing the students and placing some in different classes,"In this question, redistribute is a verb that means to disperse anew.","Redistribute is a verb that means to distribute something again. If one poker player gets too many cards and another gets too few, the dealer should probably shuffle again and redistribute the cards evenly. You may recall the story of Robin Hood, who took it upon himself to ""redistribute the wealth"" by stealing from the rich and giving to the poor. Well, in conversations about contemporary economics the word redistribute is often used to complain about taxes, which are often higher for people who have more money.",6,0.001182033
fU3MjV513(,admonish,Fill in the Blank,,"Judge Vaughn R. Walker of Federal District Court, who is hearing the case, repeatedly interrupted the opening statements of Mr. Olson and the lead defense counsel, Charles J. Cooper, ________ the lawyers to provide hard evidence — not just rhetoric.",admonishing | qualifying | parodying | purging,admonishing,"In this question, admonish is a verb that means to scold or reprimand; take to task.","To admonish is to scold. If you want to show someone you're not happy with his behavior, admonish him. It sounds better than ""scolding,"" and it's less painful than spanking. Coming to English through Old French from the Latin admonere ""to advise, remind,"" admonish is always used with an eye on improving someone's behavior. The exact meaning of this formal verb varies in intensity depending generally on who is being corrected. If a child or subordinate is being admonished, it means ""scold"" or ""rebuke"" whereas if someone admonishes a person with equal standing, warn or advise are closer synonyms.",6,0.001533742
pqCu+X$Cu),injury,Fill in the Blank,,My old knee ________ was worse back then—and I can remember stumbling in my rush.,injury | province | banter | splurge,injury,"In this question, injury is a noun that means physical damage to the body caused by violence or accident.","Injury is a noun with several similar meanings, all involving physical harm or wrongdoing. If you’re not careful, your reckless bike riding could result in a crash that causes injury. Injury often refers to physical damage, but it can be used more figuratively to describe something that's unjust or that causes harm that isn't physical. For example, your estranged grandfather might do you the injury of leaving you out of his will. The word injury comes from in-, meaning “not,” and the Latin root ius or iur, meaning “right.” So an injury is something that's not right — it's something that has gone wrong that leads to damage.",2,0.008849558
M;Pp/kUsA(,fathom,Fill in the Blank,,"In 1857, Siemens accomplished the remarkable feat of successfully laying a cable in deep water, at a depth of more than 1000 ________.",fathoms | tenures | commas | morsels,fathoms,"In this question, fathom is a noun that means a linear unit of measurement for water depth.","To fathom something is to understand it thoroughly, and is usually used in the negative, as in ""I can't fathom why he doesn't want to go along with us."" Fathom is from Middle English fadme, from Old English fæthm ""outstretched arms."" The Old English and modern English noun also refers to a unit of length used to measure the depth of water. To understand something thoroughly is ""to get to the bottom of it.""",4,0.002222222
